"stndr_name","iso3","date","Country","lat_avg","lon_avg"
NA," LCA",NA,"Saint Lucia",13.8833,-61.1333
NA," SPM",NA,"Saint Pierre and Miquelon",46.8333,-56.3333
NA," VCT",NA,"Saint Vincent and the Grenadines",13.25,-61.2
NA," VCT",NA,"Saint Vincent & the Grenadines",13.25,-61.2
NA," VCT",NA,"St. Vincent and the Grenadines",13.25,-61.2
NA," WSM",NA,"Samoa",-13.5833,-172.3333
NA," SMR",NA,"San Marino",43.7667,12.4167
NA," STP",NA,"Sao Tome and Principe",1,7
NA," SAU",NA,"Saudi Arabia",25,45
NA," SEN",NA,"Senegal",14,-14
NA," SRB",NA,"Serbia",44,21
NA," SYC",NA,"Seychelles",-4.5833,55.6667
NA," SLE",NA,"Sierra Leone",8.5,-11.5
NA," SGP",NA,"Singapore",1.3667,103.8
NA," SVK",NA,"Slovakia",48.6667,19.5
NA," SVN",NA,"Slovenia",46,15
NA," SLB",NA,"Solomon Islands",-8,159
NA," SOM",NA,"Somalia",10,49
NA," ZAF",NA,"South Africa",-29,24
NA," SGS",NA,"South Georgia and the South Sandwich Islands",-54.5,-37
NA," SSD",NA,"South Sudan",8,30
NA," ESP",NA,"Spain",40,-4
NA," LKA",NA,"Sri Lanka",7,81
NA," SDN",NA,"Sudan",15,30
NA," SUR",NA,"Suriname",4,-56
NA," SJM",NA,"Svalbard and Jan Mayen",78,20
NA," SWZ",NA,"Swaziland",-26.5,31.5
NA," SWE",NA,"Sweden",62,15
NA," CHE",NA,"Switzerland",47,8
NA," SYR",NA,"Syrian Arab Republic",35,38
NA," TWN",NA,"Taiwan, Province of China",23.5,121
NA," TWN",NA,"Taiwan",23.5,121
NA," TJK",NA,"Tajikistan",39,71
NA," TZA",NA,"Tanzania, United Republic of",-6,35
NA," THA",NA,"Thailand",15,100
NA," TLS",NA,"Timor-Leste",-8.55,125.5167
NA," TGO",NA,"Togo",8,1.1667
NA," TKL",NA,"Tokelau",-9,-172
NA," TON",NA,"Tonga",-20,-175
NA," TTO",NA,"Trinidad and Tobago",11,-61
NA," TUN",NA,"Tunisia",34,9
NA," TUR",NA,"Turkey",39,35
NA," TKM",NA,"Turkmenistan",40,60
NA," TCA",NA,"Turks and Caicos Islands",21.75,-71.5833
NA," TUV",NA,"Tuvalu",-8,178
NA," UGA",NA,"Uganda",1,32
NA," UKR",NA,"Ukraine",49,32
NA," ARE",NA,"United Arab Emirates",24,54
NA," GBR",NA,"United Kingdom",54,-2
NA," USA",NA,"United States",38,-97
NA," UMI",NA,"United States Minor Outlying Islands",19.2833,166.6
NA," URY",NA,"Uruguay",-33,-56
NA," UZB",NA,"Uzbekistan",41,64
NA," VUT",NA,"Vanuatu",-16,167
NA," VEN",NA,"Venezuela, Bolivarian Republic of",8,-66
NA," VEN",NA,"Venezuela",8,-66
NA," VNM",NA,"Viet Nam",16,106
NA," VNM",NA,"Vietnam",16,106
NA," VGB",NA,"Virgin Islands, British",18.5,-64.5
NA," VIR",NA,"Virgin Islands, U.S.",18.3333,-64.8333
NA," WLF",NA,"Wallis and Futuna",-13.3,-176.2
NA," ESH",NA,"Western Sahara",24.5,-13
NA," YEM",NA,"Yemen",15,48
NA," ZMB",NA,"Zambia",-15,30
NA," ZWE",NA,"Zimbabwe",-20,30
NA,"PSE",NA,"State of Palestine",32,35.25
NA,"UAR",NA,"United Arab Republic",30.0444,31.2357
NA,"WSH",NA,"Sahrawi Arab Democratic Republic",24.2155,12.8858
NA,"CUR",NA,"Curaçao",12.1696,68.99
