"stndr_name","iso3","date","country","lat_avg","lon_avg"
"Artur Luiz Piza Leparc","PRI","1970-01-15","Puerto Rico",18.2208,-66.5901
"Luis Camnitzer","PRI","1970-01-21","Puerto Rico",18.2208,-66.5901
"Victor Mednikov","SUN","1969-05-11","Soviet Union",60,100
"Victor Mednikov","SUN","1970-05-23","Soviet Union",60,100
"Kiril Iliachenko","SUN","1970-04-07","Soviet Union",60,100
"Kiril Iliachenko","SUN","1970-05-05","Soviet Union",60,100
"Wladimir Chtcherbatykh","SUN","1970-04-23","Soviet Union",60,100
"Wladimir Chtcherbatykh","SUN","1970-05-27","Soviet Union",60,100
"Victor Nikinov","SUN","1970-04-24","Soviet Union",60,100
"Victor Nikinov","SUN","1970-05-18","Soviet Union",60,100
"Nina Kadovsteva","SUN","1970-04-05","Soviet Union",60,100
"Nina Kadovsteva","SUN","1970-05-07","Soviet Union",60,100
"Valeri Gourenko","SUN","1970-04-08","Soviet Union",60,100
"Valeri Gourenko","SUN","1970-05-19","Soviet Union",60,100
"Alberto Abdalla","SUN","1969-09-09","Soviet Union",60,100
"Alberto Abdalla","SUN","1966-06-21","Soviet Union",60,100
"Nikola Magdic","YUG","1970-07-16","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Frano Braovic","YUG","1970-07-16","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Ante Simicic","YUG","1970-07-16","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Jurica Borcic","YUG","1970-07-16","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"G. Kahler","SUN","1970-08-22","Soviet Union",60,100
"Anatoli Glinkin","SUN","1970-08-20","Soviet Union",60,100
"M. Merner","SUN","1970-08-14","Soviet Union",60,100
"Hugo Campos","SUN","1970-06-22","Soviet Union",60,100
"Juan José Penayo","SUN","1970-12-04","Soviet Union",60,100
"Apolônio de Carvalho","SUN","1970-11-17","Soviet Union",60,100
"Esteban Lederman","SUN","1970-09-22","Soviet Union",60,100
"Ana Maria Teja de Rodriguez","SUN","1970-09-22","Soviet Union",60,100
"Yuri Pak","SUN","1970-09-22","Soviet Union",60,100
"Boris Chmelev","SUN","1970-06-01","Soviet Union",60,100
"Irma Chmelev","SUN","1970-06-01","Soviet Union",60,100
"Alfred Vishninsky","SUN","1970-01-27","Soviet Union",60,100
"Walter Ulbricht","GDR","1970-09-22","German Democratic Republic",52.52,13.42
"Yuriy Mamontov","SUN","1970-06-09","Soviet Union",60,100
"Otto Schreiberg","GDR","1962-04-01","German Democratic Republic",52.52,13.42
"Joachim Hans Sprigmann","GDR","1962-01-22","German Democratic Republic",52.52,13.42
"Heinrich Hahn","GDR","1962-04-26","German Democratic Republic",52.52,13.42
"Ronald Strelec","YUG","1966-08-23","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Vassili Drozdov","SUN","1967-07-12","Soviet Union",60,100
"Iouri Kouznetzov","SUN","1967-07-12","Soviet Union",60,100
"Efraín Margolis","SUN","1970-03-22","Soviet Union",60,100
"Mikhail Valentinov","SUN","1970-07-25","Soviet Union",60,100
"Ismael Mattos Mérida","SUN","1970-01-22","Soviet Union",60,100
"Juan José Núnez Morales","SUN","1970-03-05","Soviet Union",60,100
"David Capistrano","CZS","1970-01-24","Czechoslovakia",50.0755,14.4378
"Alberto do Carmo","GDR","1971-04-06","German Democratic Republic",52.52,13.42
"Ilya","SUN","1971-05-20","Soviet Union",60,100
"Eloisa Vasconcellos","SUN","1967-06-05","Soviet Union",60,100
"Geraldo Vandré","YUG","1969-09-13","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Geraldo Vandré","YUG","1969-10-20","Socialist Federal Republic of Yugoslavia",44.7866,20.4489
"Geraldo Vandré","FRG","1970-01-18","Federal Republic of Germany",50.7374,7.0982
"Anatoli M. Chadrine","SUN","1964-06-21","Soviet Union",60,100
"Tossa Chadrine","SUN","1964-06-18","Soviet Union",60,100
"Valentin Andreevich Golouzine","SUN","1969-07-28","Soviet Union",60,100
"Irina Goluzina","SUN","1969-04-04","Soviet Union",60,100
"Marina Andreevich Goluzine","SUN","1969-04-19","Soviet Union",60,100
"Alexey Alexanorov","SUN","1971-01-12","Soviet Union",60,100
"Reman Silxin","SUN","1971-07-09","Soviet Union",60,100
"Nicolai Pominov","SUN","1971-03-01","Soviet Union",60,100
"Cesar Ruiz Danyau","GDR","1971-04-12","German Democratic Republic",52.52,13.42
"Cesar Ruiz Danyau","SUN","1971-06-11","Soviet Union",60,100
"Francisco Herrera Latoja","GDR","1971-12-28","German Democratic Republic",52.52,13.42
"Francisco Herrera Latoja","SUN","1971-06-08","Soviet Union",60,100
"Sergio Poblete Garcés","GDR","1971-03-08","German Democratic Republic",52.52,13.42
"Sergio Poblete Garcés","SUN","1971-06-15","Soviet Union",60,100
"Anatoli Pavlovich Fedoseev","SUN","1971-12-18","Soviet Union",60,100
"Miguel Littin","SUN","1971-09-01","Soviet Union",60,100
"Miguel Littin","CZS","1971-07-22","Czechoslovakia",50.0755,14.4378
"Alexei Romanov","SUN","1971-03-06","Soviet Union",60,100
"Guillermo de Pedegral","SUN","1971-08-16","Soviet Union",60,100
"Alberto do Carmo","GDR","1971-08-24","German Democratic Republic",52.52,13.42
"Luiz Garicoits","GDR","1967-05-12","German Democratic Republic",52.52,13.42
"Roberto Yousef Antonio","PRI","1971-08-24","Puerto Rico",18.2208,-66.5901
"Delia Carvajal Monzon","PRI","1971-08-05","Puerto Rico",18.2208,-66.5901
"Erich Honecker","GDR","1971-10-02","German Democratic Republic",52.52,13.42
"Sebastião Ribeiro Hoyos","CZS","1967-05-15","Czechoslovakia",50.0755,14.4378
"Sebastião Ribeiro Hoyos","CZS","1967-07-04","Czechoslovakia",50.0755,14.4378
"Dan Robeau","CZS","1967-01-04","Czechoslovakia",50.0755,14.4378
"Dan Robeau","CZS","1967-03-08","Czechoslovakia",50.0755,14.4378
"Alberto do Carmo","GDR","1969-05-17","German Democratic Republic",52.52,13.42
"Alexander Ishkov","SUN","1971-09-07","Soviet Union",60,100
"Gregório Bezerra","SUN","1971-08-25","Soviet Union",60,100
"Ruslan Velikolepov","SUN","1971-09-24","Soviet Union",60,100
"José Costa de Souza","SUN","1971-09-06","Soviet Union",60,100
"Ernesto Ferreira","SUN","1971-01-18","Soviet Union",60,100
"Inés Loewenberg","FRG","1971-11-05","Federal Republic of Germany",50.7374,7.0982
"Willy Brandt","FRG","1968-08-26","Federal Republic of Germany",50.7374,7.0982
"Iracema de Melo Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Elma Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Ézio Cerqueira","CZS","1971-11-09","Czechoslovakia",50.0755,14.4378
"Juan Ramon Bicca","CZS","1971-05-21","Czechoslovakia",50.0755,14.4378
"Rodney Arismendi","CZS","1971-11-19","Czechoslovakia",50.0755,14.4378
"Oleg Adolfovich Lyalin","SUN","1967-12-03","Soviet Union",60,100
"Benedito Cerqueira da Silva","CZS","1971-12-01","Czechoslovakia",50.0755,14.4378
"Rabei Qhmed","SUN","1965-05-25","Soviet Union",60,100
"Rabei Qhmed","UAR","1971-06-08","United Arab Republic",30.0444,31.2357
"Zemmouchi Lakhdar","FRG","1959-10-09","Federal Republic of Germany",50.7374,7.0982
"Zemmouchi Lakhdar","FRG","1962-01-12","Federal Republic of Germany",50.7374,7.0982
"Benedito Cerqueira da Silva","CZS","1971-12-24","Czechoslovakia",50.0755,14.4378
"Benedito Cerqueira da Silva","CZS","1971-12-13","Czechoslovakia",50.0755,14.4378
"Hermann Goergen","FRG","1972-04-09","Federal Republic of Germany",50.7374,7.0982
"Peter Fuss","FRG","1966-10-10","Federal Republic of Germany",50.7374,7.0982
"Frings","FRG","1972-12-13","Federal Republic of Germany",50.7374,7.0982
"Primaz","FRG","1972-05-04","Federal Republic of Germany",50.7374,7.0982
"José de Magalhães Pinto","FRG","1969-06-27","Federal Republic of Germany",50.7374,7.0982
"Gilberto Freyre","FRG","1969-08-05","Federal Republic of Germany",50.7374,7.0982
"Wandick Londres da Nóbrega","FRG","1969-06-19","Federal Republic of Germany",50.7374,7.0982
"José Guilherme Alves Merquior","FRG","1970-11-21","Federal Republic of Germany",50.7374,7.0982
"Yevgeniy Nikolayevich Mironkin","SUN","1931-01-31","Soviet Union",60,100
"Violeta Viktorovna","SUN","1931-08-29","Soviet Union",60,100
